SOURCE_ID,RA,DEC,RA_ERROR,DEC_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_FLUX_OVER_ERROR,PHOT_G_N_OBS,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_FLUX_OVER_ERROR,PHOT_BP_N_OBS,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_FLUX_OVER_ERROR,PHOT_RP_N_OBS,ASTROMETRIC_WEIGHT_AL,ASTROMETRIC_N_OBS_AL,ASTROMETRIC_N_GOOD_OBS_AL,ASTROMETRIC_EXCESS_NOISE,ASTROMETRIC_EXCESS_NOISE_SIG,DUPLICATED_SOURCE,REF_EPOCH,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PHOT_VARIABLE_FLAG,A_G_VAL,E_BP_MIN_RP_VAL
4472813580971582976,269.6221147350088,4.507499061027827,0.0310986,0.0346349,14.4884,3099.26,106,15.0108,434.571,11,13.8211,600.549,12,38.5887,106,106,0.00000,0.00000,"F",2015.50,0.787931,0.0365506,-5.22225,0.0587237,-5.93340,0.0601057,"F",NaN,NaN
4472814233806611456,269.6691213669811,4.563478618894222,0.0411451,0.0558221,15.1390,1739.45,97,15.7138,301.270,11,14.4224,662.764,11,20.4211,97,97,0.0432334,0.179989,"F",2015.50,1.59402,0.0608773,5.74321,0.0826001,3.73275,0.0844466,"F",0.472000,0.205700
4472794850614303744,269.4510563574923,4.561716433416930,0.0441065,0.0432223,15.4529,1516.30,123,16.0980,195.247,12,14.6765,396.908,13,14.1198,124,123,0.00000,0.00000,"F",2015.50,0.0957321,0.0458755,-1.90986,0.0808958,-7.34590,0.0759149,"F",NaN,NaN
4472806365425851520,269.3046432755169,4.596795312492195,0.0379851,0.0380245,15.4925,1402.57,133,16.0279,244.728,12,14.8177,496.633,13,13.3612,133,133,0.00000,0.00000,"F",2015.50,0.940652,0.0444573,0.266459,0.0792886,1.72459,0.0793761,"F",0.875000,0.437000
4472788635800789376,269.4577683341069,4.419510032728569,0.0295709,0.0295705,14.6610,2592.26,132,15.1608,356.192,12,14.0025,715.055,13,31.3460,133,132,0.00000,0.00000,"F",2015.50,0.0759243,0.0317026,0.946761,0.0554964,-11.3719,0.0562163,"F",NaN,NaN
4472814336885826048,269.6776493036143,4.569310884680115,0.0414749,0.0591500,15.3912,1803.91,105,15.9805,212.072,11,14.6682,428.403,11,16.8694,106,105,0.00000,1.00486e-15,"F",2015.50,0.434641,0.0670331,-8.40943,0.0805238,-5.03591,0.0857943,"F",NaN,NaN
4472813271734029312,269.2991580131589,4.772452074195607,0.0339088,0.0355519,14.7057,2190.37,115,15.3235,354.535,11,13.9553,785.118,12,30.1438,115,115,0.00000,0.00000,"F",2015.50,0.423217,0.0417333,-3.51916,0.0622564,-11.5441,0.0575368,"F",NaN,NaN
4472806949541384960,269.4042616975443,4.598866496498293,0.0398375,0.0440902,14.5839,1895.27,107,14.9368,434.267,12,14.0482,625.494,11,32.7974,108,108,0.00000,0.00000,"F",2015.50,0.609408,0.0396610,-19.6303,0.0746715,-7.00329,0.0781506,"F",NaN,NaN
4472805506432375552,269.3543122830114,4.568247673873453,0.0328323,0.0336661,12.2298,3683.84,144,13.0603,335.355,14,11.3524,795.926,13,319.293,144,142,0.00000,0.00000,"F",2015.50,0.291336,0.0379221,2.36432,0.0619084,-3.06844,0.0586589,"F",0.690000,0.303000
4472808427010152192,269.3692475395633,4.648422764540721,0.0221083,0.0223861,13.8064,3649.42,141,14.3386,488.201,15,13.1256,413.304,15,68.8747,141,141,0.00000,0.00000,"F",2015.50,1.00587,0.0262134,1.49838,0.0418872,-17.9693,0.0397169,"F",NaN,NaN
4472804716158392960,269.3012663611165,4.520274358699747,0.0214308,0.0209551,14.0622,3302.96,160,14.7749,477.051,18,13.2576,786.650,17,55.1112,161,160,0.00000,0.00000,"F",2015.50,0.358229,0.0237677,1.31690,0.0418249,-2.62537,0.0390047,"F",NaN,NaN
4472795503449496704,269.4390885569754,4.598066936202672,0.0391885,0.0412781,14.4795,2385.25,133,14.8998,356.648,14,13.8871,516.474,15,13.4989,133,133,0.206699,6.15694,"F",2015.50,0.444102,0.0470809,-2.44074,0.0739885,-3.82740,0.0707698,"F",NaN,NaN
4472812786399862272,269.3064880920569,4.722887692444074,0.0353980,0.0386308,15.0388,1972.75,132,15.5274,392.168,13,14.3937,499.846,15,20.9056,132,132,0.00000,0.00000,"F",2015.50,1.08369,0.0445345,4.52005,0.0673068,-6.26817,0.0613620,"F",0.691300,0.342200
